ItemID,ItemName
118,Minor Healing Potion
724,Goretusk Liver Pie
733,Westfall Stew
858,Lesser Healing Potion
929,Healing Potion
954,Scroll of Strength
955,Scroll of Intellect
1017,Seasoned Wolf Kabob
1082,Redridge Goulash
1180,Scroll of Stamina
1181,Scroll of Spirit
1251,Linen Bandage
1477,Scroll of Agility II
1710,Greater Healing Potion
1711,Scroll of Stamina II
1712,Scroll of Spirit II
2289,Scroll of Strength II
2290,Scroll of Intellect II
2300,Embossed Leather Vest
2302,Handstitched Leather Boots
2303,Handstitched Leather Pants
2304,Light Armor Kit
2307,Fine Leather Boots
2308,Fine Leather Cloak
2309,Embossed Leather Boots
2310,Embossed Leather Cloak
2311,White Leather Jerkin
2312,Fine Leather Gloves
2313,Medium Armor Kit
2314,Toughened Leather Armor
2315,Dark Leather Boots
2316,Dark Leather Cloak
2317,Dark Leather Tunic
2454,Elixir of Lion's Strength
2455,Minor Mana Potion
2456,Minor Rejuvenation Potion
2457,Elixir of Minor Agility
2458,Elixir of Minor Fortitude
2459,Swiftness Potion
2568,Brown Linen Vest
2569,Linen Boots
2570,Linen Cloak
2572,Red Linen Robe
2575,Red Linen Shirt
2576,White Linen Shirt
2577,Blue Linen Shirt
2578,Barbaric Linen Vest
2579,Green Linen Shirt
2580,Reinforced Linen Cape
2581,Heavy Linen Bandage
2582,Green Woolen Vest
2583,Woolen Boots
2584,Woolen Cape
2585,Gray Woolen Robe
2587,Gray Woolen Shirt
2679,Charred Wolf Meat
2680,Spiced Wolf Meat
2681,Roasted Boar Meat
2682,Cooked Crab Claw
2683,Crab Cake
2684,Coyote Steak
2685,Succulent Pork Ribs
2687,Dry Pork Ribs
2840,Copper Bar
2841,Bronze Bar
2842,Silver Bar
2844,Copper Mace
2845,Copper Axe
2847,Copper Shortsword
2848,Bronze Mace
2849,Bronze Axe
2850,Bronze Shortsword
2851,Copper Chain Belt
2852,Copper Chain Pants
2853,Copper Bracers
2854,Runed Copper Bracers
2857,Runed Copper Belt
2862,Rough Sharpening Stone
2863,Coarse Sharpening Stone
2864,Runed Copper Breastplate
2865,Rough Bronze Leggings
2866,Rough Bronze Cuirass
2868,Patterned Bronze Bracers
2869,Silvered Bronze Breastplate
2870,Shining Silver Breastplate
2871,Heavy Sharpening Stone
2888,Beer Basted Boar Ribs
2996,Bolt of Linen Cloth
2997,Bolt of Woolen Cloth
3012,Scroll of Agility
3220,Blood Sausage
3239,Rough Weightstone
3240,Coarse Weightstone
3241,Heavy Weightstone
3382,Weak Troll's Blood Elixir
3383,Elixir of Wisdom
3385,Lesser Mana Potion
3386,Potion of Curing
3387,Limited Invulnerability Potion
3388,Strong Troll's Blood Elixir
3389,Elixir of Defense
3390,Elixir of Lesser Agility
3391,Elixir of Ogre's Strength
3469,Copper Chain Boots
3470,Rough Grinding Stone
3471,Copper Chain Vest
3472,Runed Copper Gauntlets
3473,Runed Copper Pants
3474,Gemmed Copper Gauntlets
3478,Coarse Grinding Stone
3480,Rough Bronze Shoulders
3481,Silvered Bronze Shoulders
3482,Silvered Bronze Boots
3483,Silvered Bronze Gauntlets
3484,Green Iron Boots
3485,Green Iron Gauntlets
3486,Heavy Grinding Stone
3487,Heavy Copper Broadsword
3488,Copper Battle Axe
3489,Thick War Axe
3490,Deadly Bronze Poniard
3491,Heavy Bronze Mace
3492,Mighty Iron Hammer
3530,Wool Bandage
3531,Heavy Wool Bandage
3575,Iron Bar
3576,Tin Bar
3577,Gold Bar
3662,Crocolisk Steak
3663,Murloc Fin Soup
3664,Crocolisk Gumbo
3665,Curiously Tasty Omelet
3666,Gooey Spider Cake
3719,Hillman's Cloak
3726,Big Bear Steak
3727,Hot Lion Chops
3728,Tasty Lion Steak
3729,Soothing Turtle Bisque
3823,Lesser Invisibility Potion
3824,Shadow Oil
3825,Elixir of Fortitude
3826,Major Troll's Blood Elixir
3827,Mana Potion
