SpellID,SpellName,Icon,Profession,ProfLevel,Red,Yellow,Green,Grey,CreatesItem,Mat1,Mat1Qty,Mat2,Mat2Qty,Mat3,Mat3Qty,Mat4,Mat4Qty,Mat5,Mat5Qty,Mat6,Mat6Qty,Mat7,Mat7Qty,Mat8,Mat8Qty
898,Create Fervor Potion,inv_potion_09,,,,,,,1450,878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2149,Handstitched Leather Boots,inv_boots_04,Leatherworking,1,1,40,55,70,2302,2318,2,2320,1,0,0,0,0,0,0,0,0,0,0,0,0
2152,Light Armor Kit,inv_misc_armorkit_17,Leatherworking,1,1,30,45,60,2304,2318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2153,Handstitched Leather Pants,inv_pants_wolf,Leatherworking,15,15,45,60,75,2303,2318,4,2320,1,0,0,0,0,0,0,0,0,0,0,0,0
2158,Fine Leather Boots,inv_boots_06,Leatherworking,90,90,120,135,150,2307,2318,7,2320,2,0,0,0,0,0,0,0,0,0,0,0,0
2159,Fine Leather Cloak,inv_misc_cape_10,Leatherworking,85,85,105,120,135,2308,2318,10,2321,2,0,0,0,0,0,0,0,0,0,0,0,0
2160,Embossed Leather Vest,inv_chest_leather_09,Leatherworking,40,40,70,85,100,2300,2318,8,2320,4,0,0,0,0,0,0,0,0,0,0,0,0
2161,Embossed Leather Boots,inv_boots_05,Leatherworking,55,55,85,100,115,2309,2318,8,2320,5,0,0,0,0,0,0,0,0,0,0,0,0
2162,Embossed Leather Cloak,inv_helmet_48,Leatherworking,60,60,90,105,120,2310,2318,5,2320,2,0,0,0,0,0,0,0,0,0,0,0,0
2163,White Leather Jerkin,inv_chest_wolf,Leatherworking,60,60,90,105,120,2311,2318,8,2320,2,2324,1,0,0,0,0,0,0,0,0,0,0
2164,Fine Leather Gloves,inv_gauntlets_05,Leatherworking,75,75,105,120,135,2312,4231,1,2318,4,2320,2,0,0,0,0,0,0,0,0,0,0
2165,Medium Armor Kit,inv_misc_armorkit_15,Leatherworking,100,100,115,122,130,2313,2319,4,2320,1,0,0,0,0,0,0,0,0,0,0,0,0
2166,Toughened Leather Armor,inv_chest_leather_10,Leatherworking,120,120,145,157,170,2314,2319,10,4231,6,2321,2,0,0,0,0,0,0,0,0,0,0
2167,Dark Leather Boots,inv_boots_05,Leatherworking,100,100,125,137,150,2315,2319,4,2321,2,4340,1,0,0,0,0,0,0,0,0,0,0
2168,Dark Leather Cloak,inv_misc_cape_10,Leatherworking,110,110,135,147,160,2316,2319,8,2321,1,4340,1,0,0,0,0,0,0,0,0,0,0
2169,Dark Leather Tunic,inv_chest_leather_03,Leatherworking,100,100,125,137,150,2317,2319,6,2321,1,4340,1,0,0,0,0,0,0,0,0,0,0
